rbf,,,,,,,,
Size,Time (s),Percent Correct, Percent +, Percent -, Percent + correct, Percent - correct, False + percent, False - percent
1000,0,95.08736,4.91264,95.08736,0,100,0,4.91264
2000,1,95.06204,4.91264,95.08736,0,99.97337,0.02532,4.91264
3000,3,95.03672,4.91264,95.08736,0.25773,99.93342,0.06331,4.89997
4000,7,94.93543,4.91264,95.08736,1.54639,99.76032,0.22791,4.83667
5000,16,94.96075,4.91264,95.08736,3.35052,99.69374,0.29121,4.74804
6000,32,94.87212,4.91264,95.08736,4.38144,99.54727,0.43049,4.69739
7000,59,94.92277,4.91264,95.08736,4.89691,99.5739,0.40517,4.67207
8000,83,94.92277,4.91264,95.08736,4.63918,99.58722,0.3925,4.68473
9000,114,94.92277,4.91264,95.08736,4.63918,99.58722,0.3925,4.68473
10000,171,94.92277,4.91264,95.08736,5.41237,99.54727,0.43049,4.64675
linear,,,,,,,,
Size,Time (s),Percent Correct, Percent +, Percent -, Percent + correct, Percent - correct, False + percent, False - percent
1000,0,98.45531,4.91264,95.08736,77.57732,99.53395,0.44315,1.10154
2000,4,98.49329,4.91264,95.08736,78.86598,99.50732,0.46847,1.03824
3000,6,98.6199,4.91264,95.08736,85.05155,99.32091,0.64573,0.73436
4000,18,98.53127,4.91264,95.08736,85.56701,99.20107,0.75969,0.70904
5000,39,98.5566,4.91264,95.08736,85.56701,99.2277,0.73436,0.70904
6000,59,98.53127,4.91264,95.08736,85.30928,99.21438,0.74702,0.7217
7000,119,98.50595,4.91264,95.08736,84.79381,99.21438,0.74702,0.74702
8000,196,98.51861,4.91264,95.08736,85.05155,99.21438,0.74702,0.73436
9000,246,98.51861,4.91264,95.08736,85.30928,99.20107,0.75969,0.7217
10000,398,98.54394,4.91264,95.08736,85.30928,99.2277,0.73436,0.7217
sigmoid,,,,,,,,
Size,Time (s),Percent Correct, Percent +, Percent -, Percent + correct, Percent - correct, False + percent, False - percent
1000,0,95.08736,4.91264,95.08736,0,100,0,4.91264
2000,0,95.08736,4.91264,95.08736,0,100,0,4.91264
3000,0,95.08736,4.91264,95.08736,0,100,0,4.91264
4000,2,95.08736,4.91264,95.08736,0,100,0,4.91264
5000,5,95.08736,4.91264,95.08736,0,100,0,4.91264
6000,9,95.08736,4.91264,95.08736,0,100,0,4.91264
7000,15,95.08736,4.91264,95.08736,0,100,0,4.91264
8000,24,95.08736,4.91264,95.08736,0,100,0,4.91264
9000,35,95.08736,4.91264,95.08736,0,100,0,4.91264
10000,68,95.08736,4.91264,95.08736,0,100,0,4.91264
poly,,,,,,,,
Size,Time (s),Percent Correct, Percent +, Percent -, Percent + correct, Percent - correct, False + percent, False - percent
1000,437,96.10028,4.91264,95.08736,79.38144,96.96405,2.88681,1.01291
2000,1029,97.22715,4.91264,95.08736,84.27835,97.89614,2.00051,0.77235
3000,3441,97.20182,4.91264,95.08736,86.85567,97.73635,2.15244,0.64573
